,station_number,wban_number,year,month,day,mean_temp,num_mean_temp_samples,mean_dew_point,num_mean_dew_point_samples,mean_sealevel_pressure,num_mean_sealevel_pressure_samples,mean_station_pressure,num_mean_station_pressure_samples,mean_visibility,num_mean_visibility_samples,mean_wind_speed,num_mean_wind_speed_samples,max_sustained_wind_speed,max_gust_wind_speed,max_temperature,max_temperature_explicit,min_temperature,min_temperature_explicit,total_precipitation,snow_depth,fog,rain,snow,hail,thunder,tornado
395,718180,99999,1989,3,5,18.8999996185,20,15.8000001907,20.0,1020.0,20.0,,,7.0,19.0,8.30000019073,20.0,20.0,,14.0,True,,,,,False,False,False,False,False,False
396,723527,13975,1953,12,12,32.0999984741,24,16.3999996185,24.0,1023.20001221,24.0,943.099975586,24.0,14.8999996185,24.0,7.59999990463,24.0,14.0,,18.0,True,,,0.0,,False,False,False,False,False,False
397,723635,99999,2000,10,1,79.9000015259,24,31.7999992371,24.0,1005.59997559,24.0,,,10.0,24.0,9.0,24.0,15.8999996185,22.0,64.0,False,,,0.0,,False,False,False,False,False,False
398,12880,99999,2001,12,23,11.6999998093,4,9.19999980927,4.0,1000.29998779,4.0,924.599975586,4.0,14.8000001907,4.0,1.89999997616,4.0,1.89999997616,,4.59999990463,False,,,0.109999999404,13.0,False,False,False,False,False,False
399,333450,99999,1961,5,10,51.0,8,43.0,7.0,1009.59997559,8.0,,,4.80000019073,8.0,6.30000019073,8.0,9.89999961853,,43.0,False,,,0.0399999991059,,False,False,False,False,False,False
400,723122,99999,2006,10,2,71.3000030518,13,53.9000015259,13.0,,,,,27.7000007629,13.0,5.80000019073,13.0,12.0,,57.2000007629,True,,,0.0,,False,False,False,False,False,False
401,357000,99999,1987,12,26,5.30000019073,8,-3.40000009537,8.0,1034.80004883,8.0,,,12.3999996185,8.0,2.90000009537,8.0,3.90000009537,9.69999980927,0.5,False,,,0.0,,False,False,False,False,False,False
402,702650,99999,1963,8,24,60.2000007629,24,54.5999984741,24.0,1009.59997559,8.0,988.900024414,8.0,34.4000015259,24.0,2.5,24.0,7.0,,50.9000015259,True,,,0.0,,False,False,False,False,False,False
403,682670,99999,2000,5,24,52.2000007629,8,45.9000015259,8.0,,,827.200012207,8.0,10.8000001907,6.0,6.80000019073,8.0,9.89999961853,,45.2999992371,False,,,0.0,,True,True,True,True,True,True
404,764710,99999,2005,11,26,49.5999984741,4,35.5,4.0,1011.79998779,4.0,767.200012207,4.0,18.6000003815,4.0,6.30000019073,4.0,9.69999980927,,41.0,True,,,0.0,,False,False,False,False,False,False
